; index, empty, ペパーミント, ほうじ茶, 紅茶, ;
2,13.539,11.65,11.975,12.882,;
3,13.646,12.293,12.219,13.04,;
4,13.703,12.545,12.271,13.101,;
5,16.267,14.643,14.264,15.435,;
6,16.172,14.329,13.988,15.279,;
7,18.444,16.775,16.339,17.969,;
8,18.444,16.258,16.179,17.898,;
9,18.444,15.876,16.071,17.825,;
0,16.031,13.441,13.69,15.056,;
1,15.983,13.326,13.56,14.97,;
2,13.539,11.652,11.975,12.884,;
3,13.652,12.296,12.219,13.035,;
4,13.705,12.548,12.269,13.101,;
5,16.266,14.649,14.261,15.433,;
6,16.171,14.329,13.994,15.272,;
7,18.444,16.781,16.338,17.969,;
8,18.444,16.259,16.183,17.902,;
9,18.444,15.876,16.071,17.83,;
0,16.039,13.447,13.685,15.059,;
1,15.978,13.329,13.561,14.965,;
2,13.537,11.649,11.974,12.885,;
3,13.65,12.3,12.223,13.039,;
4,13.711,12.546,12.274,13.098,;
5,16.276,14.632,14.264,15.43,;
6,16.175,14.316,13.994,15.279,;
7,18.444,16.777,16.343,17.973,;
8,18.444,16.256,16.187,17.902,;
9,18.444,15.878,16.074,17.836,;
0,16.032,13.448,13.694,15.068,;
1,15.974,13.325,13.564,14.972,;
2,13.542,11.654,11.975,12.887,;
3,13.657,12.303,12.224,13.039,;
4,13.705,12.551,12.27,13.106,;
5,16.268,14.653,14.268,15.444,;
6,16.176,14.338,13.996,15.276,;
7,18.444,16.788,16.337,17.977,;
8,18.444,16.262,16.189,17.902,;
9,18.444,15.888,16.074,17.826,;
0,16.03,13.449,13.696,15.068,;
1,15.985,13.329,13.562,14.967,;
2,13.541,11.654,11.977,12.883,;
3,13.647,12.3,12.229,13.038,;
4,13.705,12.548,12.272,13.104,;
5,16.262,14.632,14.273,15.442,;
6,16.167,14.327,13.999,15.273,;
7,18.444,16.773,16.35,17.986,;
8,18.444,16.264,16.186,17.9,;
9,18.444,15.884,16.082,17.837,;
0,16.031,13.447,13.699,15.063,;
1,15.983,13.33,13.572,14.972,;
2,13.541,11.649,11.984,12.883,;
3,13.649,12.303,12.225,13.041,;
4,13.706,12.551,12.276,13.103,;
5,16.266,14.641,14.276,15.438,;
6,16.176,14.332,14,15.28,;
7,18.444,16.765,16.347,17.986,;
8,18.444,16.273,16.192,17.9,;
9,18.444,15.886,16.083,17.835,;
0,16.033,13.455,13.7,15.068,;
1,15.978,13.335,13.572,14.972,;
2,13.541,11.657,11.981,12.883,;
3,13.651,12.296,12.231,13.041,;
4,13.702,12.551,12.28,13.104,;
5,16.272,14.649,14.268,15.439,;
6,16.174,14.335,14.004,15.285,;
7,18.444,16.787,16.351,17.981,;
8,18.444,16.273,16.193,17.898,;
9,18.444,15.89,16.084,17.832,;
0,16.033,13.45,13.702,15.069,;
1,15.977,13.332,13.573,14.974,;
2,13.541,11.657,11.986,12.885,;
3,13.654,12.303,12.232,13.044,;
4,13.707,12.547,12.281,13.098,;
5,16.273,14.648,14.273,15.442,;
6,16.177,14.332,14.004,15.277,;
7,18.444,16.781,16.357,17.979,;
8,18.444,16.28,16.199,17.901,;
9,18.444,15.888,16.088,17.838,;
0,16.032,13.453,13.703,15.069,;
1,15.978,13.336,13.569,14.975,;
2,13.541,11.659,11.981,12.884,;
3,13.654,12.304,12.228,13.041,;
4,13.706,12.553,12.279,13.106,;
5,16.273,14.648,14.278,15.447,;
6,16.173,14.325,14.002,15.284,;
7,18.444,16.789,16.358,17.979,;
8,18.444,16.27,16.201,17.904,;
9,18.444,15.888,16.09,17.839,;
0,16.036,13.456,13.707,15.073,;
1,15.981,13.33,13.579,14.976,;
2,13.538,11.657,11.989,12.883,;
3,13.649,12.303,12.229,13.041,;
4,13.706,12.551,12.28,13.107,;
5,16.275,14.652,14.275,15.435,;
6,16.176,14.346,14.005,15.276,;
7,18.444,16.794,16.352,17.981,;
8,18.444,16.279,16.195,17.902,;
9,18.444,15.895,16.086,17.838,;
0,16.033,13.459,13.705,15.064,;
1,15.981,13.34,13.577,14.978,;
2,13.552,11.657,11.989,12.889,;
3,13.651,12.305,12.235,13.039,;
4,13.711,12.554,12.282,13.103,;
5,16.274,14.653,14.276,15.452,;
6,16.176,14.335,14.011,15.285,;
7,18.444,16.795,16.356,17.985,;
8,18.444,16.284,16.198,17.906,;
9,18.444,15.894,16.09,17.842,;
0,16.035,13.455,13.703,15.073,;
1,15.981,13.342,13.584,14.978,;
2,13.547,11.659,11.987,12.888,;
3,13.65,12.3,12.23,13.048,;
4,13.707,12.556,12.286,13.101,;
5,16.276,14.655,14.276,15.443,;
6,16.171,14.347,14.01,15.28,;
7,18.444,16.793,16.36,17.982,;
8,18.444,16.286,16.201,17.907,;
9,18.444,15.902,16.087,17.843,;
0,16.038,13.458,13.708,15.068,;
1,15.981,13.344,13.581,14.977,;
2,13.551,11.661,11.986,12.883,;
3,13.654,12.302,12.234,13.042,;
4,13.709,12.553,12.282,13.104,;
5,16.271,14.654,14.289,15.444,;
6,16.179,14.337,14.014,15.288,;
7,18.444,16.794,16.368,17.982,;
8,18.444,16.288,16.211,17.908,;
9,18.444,15.898,16.091,17.845,;
0,16.035,13.461,13.705,15.077,;
1,15.981,13.343,13.589,14.978,;
2,13.538,11.663,11.992,12.89,;
3,13.653,12.305,12.24,13.044,;
4,13.709,12.551,12.286,13.109,;
5,16.274,14.655,14.282,15.449,;
6,16.182,14.342,14.015,15.28,;
7,18.444,16.799,16.371,17.979,;
8,18.444,16.279,16.219,17.909,;
9,18.444,15.904,16.1,17.839,;
0,16.042,13.463,13.714,15.07,;
1,15.979,13.348,13.579,14.979,;
2,13.546,11.667,11.994,12.887,;
3,13.65,12.306,12.238,13.041,;
4,13.705,12.553,12.287,13.106,;
5,16.272,14.655,14.286,15.438,;
6,16.183,14.342,14.02,15.277,;
7,18.444,16.798,16.365,17.985,;
8,18.444,16.289,16.214,17.909,;
9,18.444,15.906,16.103,17.838,;
0,16.036,13.466,13.709,15.073,;
1,15.985,13.345,13.582,14.975,;
2,13.539,11.663,11.996,12.892,;
3,13.655,12.307,12.239,13.048,;
4,13.707,12.556,12.289,13.109,;
5,16.279,14.655,14.29,15.446,;
6,16.178,14.337,14.021,15.284,;
7,18.444,16.798,16.365,17.992,;
8,18.444,16.293,16.212,17.912,;
9,18.444,15.905,16.102,17.846,;
0,16.04,13.47,13.717,15.074,;
1,15.988,13.346,13.588,14.98,;
2,13.545,11.667,11.995,12.89,;
3,13.656,12.304,12.24,13.044,;
4,13.706,12.559,12.29,13.103,;
5,16.276,14.659,14.283,15.444,;
6,16.181,14.347,14.015,15.281,;
7,18.444,16.794,16.372,17.992,;
8,18.444,16.29,16.22,17.911,;
9,18.444,15.908,16.11,17.842,;
0,16.038,13.469,13.713,15.075,;
1,15.993,13.347,13.597,14.977,;
2,13.551,11.668,11.998,12.889,;
3,13.651,12.308,12.243,13.048,;
4,13.705,12.556,12.292,13.112,;
5,16.273,14.655,14.29,15.446,;
6,16.175,14.345,14.02,15.283,;
7,18.444,16.799,16.379,17.989,;
8,18.444,16.288,16.214,17.914,;
9,18.444,15.907,16.098,17.848,;
0,16.046,13.472,13.719,15.083,;
1,15.987,13.358,13.596,14.977,;
2,13.549,11.666,11.991,12.89,;
3,13.654,12.308,12.241,13.044,;
4,13.707,12.559,12.292,13.11,;
5,16.282,14.661,14.292,15.445,;
6,16.177,14.341,14.023,15.283,;
7,18.444,16.797,16.378,17.98,;
8,18.444,16.289,16.226,17.911,;
9,18.444,15.914,16.112,17.847,;
0,16.042,13.471,13.717,15.072,;
1,15.981,13.352,13.593,14.982,;
2,13.542,11.669,11.996,12.892,;
3,13.652,12.311,12.245,13.046,;
4,13.707,12.559,12.291,13.105,;
5,16.284,14.667,14.298,15.451,;
6,16.183,14.343,14.024,15.284,;
7,18.444,16.804,16.38,17.988,;
8,18.444,16.29,16.224,17.912,;
9,18.444,15.91,16.107,17.847,;
0,16.043,13.474,13.726,15.076,;
1,15.985,13.346,13.59,14.972,;
2,13.555,11.672,11.997,12.893,;
3,13.652,12.314,12.244,13.047,;
4,13.707,12.555,12.295,13.11,;
5,16.276,14.661,14.293,15.45,;
6,16.184,14.341,14.024,15.292,;
7,18.444,16.805,16.383,17.989,;
8,18.444,16.288,16.229,17.906,;
9,18.444,15.916,16.114,17.842,;
0,16.04,13.476,13.726,15.082,;
1,15.992,13.356,13.594,14.989,;
2,13.554,11.665,12.001,12.889,;
3,13.66,12.314,12.245,13.046,;
4,13.707,12.558,12.298,13.108,;
5,16.277,14.659,14.295,15.446,;
6,16.189,14.344,14.029,15.286,;
7,18.444,16.81,16.383,17.993,;
8,18.444,16.317,16.225,17.918,;
9,18.444,15.923,16.117,17.849,;
0,16.045,13.476,13.717,15.083,;
1,15.987,13.352,13.598,14.984,;
2,13.546,11.671,12.001,12.891,;
3,13.659,12.316,12.247,13.049,;
4,13.699,12.562,12.299,13.109,;
5,16.277,14.667,14.299,15.458,;
6,16.179,14.341,14.031,15.294,;
7,18.444,16.809,16.391,17.987,;
8,18.444,16.319,16.234,17.913,;
9,18.444,15.925,16.123,17.842,;
0,16.05,13.475,13.722,15.079,;
1,15.986,13.359,13.607,14.975,;
2,13.542,11.674,12.003,12.891,;
3,13.656,12.309,12.248,13.048,;
4,13.705,12.554,12.298,13.107,;
5,16.275,14.656,14.303,15.448,;
6,16.188,14.344,14.031,15.29,;
7,18.444,16.808,16.392,17.997,;
8,18.444,16.299,16.235,17.917,;
9,18.444,15.923,16.118,17.846,;
0,16.045,13.475,13.733,15.08,;
1,15.986,13.356,13.607,14.982,;
2,13.548,11.672,12.002,12.895,;
3,13.654,12.313,12.25,13.05,;
4,13.709,12.561,12.3,13.109,;
5,16.282,14.657,14.297,15.446,;
6,16.189,14.344,14.034,15.289,;
7,18.444,16.803,16.387,17.994,;
8,18.444,16.298,16.241,17.917,;
9,18.444,15.918,16.125,17.851,;
0,16.046,13.479,13.735,15.082,;
1,15.992,13.357,13.603,14.987,;
2,13.548,11.674,12.005,12.895,;
3,13.652,12.316,12.252,13.046,;
4,13.709,12.562,12.296,13.112,;
5,16.275,14.665,14.299,15.452,;
6,16.182,14.354,14.035,15.289,;
7,18.444,16.813,16.394,18,;
8,18.444,16.32,16.237,17.922,;
9,18.444,15.925,16.124,17.857,;
0,16.045,13.482,13.734,15.086,;
1,15.995,13.361,13.604,14.992,;
2,13.553,11.671,12.005,12.892,;
3,13.659,12.316,12.249,13.049,;
4,13.711,12.562,12.302,13.11,;
5,16.275,14.655,14.304,15.448,;
6,16.182,14.353,14.033,15.29,;
7,18.444,16.81,16.402,17.991,;
8,18.444,16.289,16.242,17.921,;
9,18.444,15.925,16.125,17.852,;
0,16.046,13.479,13.732,15.075,;
1,15.988,13.36,13.603,14.985,;
2,13.543,11.673,12.007,12.89,;
3,13.657,12.312,12.254,13.047,;
4,13.709,12.562,12.302,13.113,;
5,16.284,14.669,14.305,15.454,;
6,16.184,14.347,14.04,15.297,;
7,18.444,16.811,16.395,18.01,;
8,18.444,16.329,16.24,17.924,;
9,18.444,15.932,16.128,17.856,;
0,16.045,13.482,13.734,15.088,;
1,15.992,13.358,13.61,14.989,;
2,13.541,11.676,12.003,12.894,;
3,13.654,12.313,12.255,13.052,;
4,13.71,12.565,12.299,13.112,;
5,16.286,14.664,14.308,15.471,;
6,16.187,14.361,14.044,15.299,;
7,18.444,16.808,16.394,18.003,;
8,18.444,16.327,16.242,17.925,;
9,18.444,15.924,16.127,17.853,;
0,16.043,13.482,13.741,15.082,;
1,15.995,13.354,13.611,14.988,;
2,13.545,11.674,12.009,12.898,;
3,13.659,12.316,12.251,13.052,;
4,13.713,12.561,12.303,13.114,;
5,16.284,14.673,14.305,15.462,;
6,16.187,14.348,14.042,15.296,;
7,18.444,16.808,16.392,18,;
8,18.444,16.297,16.242,17.924,;
9,18.444,15.921,16.128,17.856,;
0,16.043,13.477,13.739,15.082,;
1,15.993,13.358,13.613,14.986,;
2,13.559,11.676,12.009,12.897,;
3,13.652,12.314,12.256,13.052,;
4,13.713,12.564,12.305,13.114,;
5,16.283,14.673,14.308,15.455,;
6,16.187,14.362,14.04,15.293,;
7,18.444,16.813,16.406,18.009,;
8,18.444,16.325,16.252,17.926,;
9,18.444,15.925,16.133,17.859,;
0,16.041,13.479,13.743,15.087,;
1,15.999,13.37,13.619,14.989,;
2,13.553,11.678,12.01,12.895,;
3,13.661,12.317,12.257,13.053,;
4,13.709,12.563,12.303,13.114,;
5,16.284,14.648,14.311,15.448,;
6,16.187,14.354,14.05,15.292,;
7,18.444,16.814,16.408,18.002,;
8,18.444,16.298,16.248,17.927,;
9,18.444,15.926,16.137,17.858,;
0,16.048,13.483,13.746,15.089,;
1,15.99,13.357,13.62,14.989,;
2,13.558,11.679,12.015,12.895,;
3,13.659,12.316,12.255,13.049,;
4,13.714,12.564,12.306,13.115,;
5,16.276,14.663,14.315,15.467,;
6,16.179,14.357,14.047,15.291,;
7,18.444,16.814,16.414,18.001,;
8,18.444,16.328,16.249,17.93,;
9,18.444,15.937,16.143,17.861,;
0,16.054,13.486,13.746,15.081,;
1,15.996,13.361,13.619,14.993,;
2,13.552,11.676,12.015,12.898,;
3,13.66,12.317,12.26,13.051,;
4,13.713,12.559,12.307,13.118,;
5,16.284,14.66,14.321,15.458,;
6,16.191,14.348,14.049,15.299,;
7,18.444,16.815,16.406,18.004,;
8,18.444,16.332,16.257,17.926,;
9,18.444,15.937,16.141,17.861,;
0,16.047,13.483,13.759,15.08,;
1,15.993,13.373,13.617,14.988,;
2,13.551,11.676,12.015,12.902,;
3,13.659,12.318,12.259,13.053,;
4,13.711,12.566,12.308,13.117,;
5,16.284,14.669,14.316,15.458,;
6,16.191,14.353,14.049,15.301,;
7,18.444,16.812,16.414,18.005,;
8,18.444,16.323,16.257,17.923,;
9,18.444,15.932,16.142,17.853,;
0,16.049,13.484,13.754,15.086,;
1,15.998,13.361,13.619,14.996,;
2,13.56,11.682,12.012,12.894,;
3,13.66,12.318,12.262,13.052,;
4,13.716,12.566,12.31,13.111,;
5,16.28,14.67,14.314,15.452,;
6,16.184,14.367,14.053,15.295,;
7,18.444,16.813,16.418,18.003,;
8,18.444,16.317,16.265,17.928,;
9,18.444,15.931,16.146,17.859,;
0,16.057,13.488,13.746,15.088,;
1,15.999,13.366,13.621,14.991,;
2,13.56,11.684,12.017,12.899,;
3,13.66,12.32,12.261,13.052,;
4,13.709,12.562,12.312,13.118,;
5,16.289,14.671,14.318,15.456,;
6,16.194,14.356,14.055,15.301,;
7,18.444,16.819,16.417,18.004,;
8,18.444,16.323,16.257,17.925,;
9,18.444,15.93,16.156,17.864,;
0,16.048,13.487,13.756,15.084,;
1,15.995,13.369,13.632,14.996,;
2,13.549,11.678,12.018,12.894,;
3,13.661,12.318,12.258,13.053,;
4,13.713,12.564,12.313,13.118,;
5,16.276,14.665,14.314,15.465,;
6,16.193,14.363,14.054,15.291,;
7,18.444,16.814,16.421,18.006,;
8,18.444,16.328,16.268,17.923,;
9,18.444,15.942,16.149,17.864,;
0,16.049,13.493,13.753,15.088,;
1,15.994,13.376,13.633,14.995,;
2,13.552,11.685,12.015,12.899,;
3,13.657,12.32,12.264,13.054,;
4,13.71,12.563,12.314,13.119,;
5,16.281,14.672,14.326,15.452,;
6,16.189,14.355,14.056,15.298,;
7,18.444,16.824,16.419,18.008,;
8,18.444,16.343,16.27,17.931,;
9,18.444,15.943,16.152,17.865,;
0,16.051,13.493,13.75,15.086,;
1,15.993,13.375,13.631,14.994,;
2,13.553,11.683,12.019,12.896,;
3,13.66,12.318,12.262,13.054,;
4,13.711,12.571,12.311,13.12,;
5,16.286,14.665,14.322,15.457,;
6,16.186,14.366,14.06,15.299,;
7,18.444,16.818,16.421,18.01,;
8,18.444,16.329,16.266,17.93,;
9,18.444,15.954,16.16,17.86,;
0,16.047,13.488,13.759,15.094,;
1,15.993,13.369,13.628,14.995,;
2,13.553,11.687,12.019,12.898,;
3,13.662,12.32,12.265,13.049,;
4,13.713,12.566,12.311,13.119,;
5,16.282,14.672,14.326,15.459,;
6,16.186,14.362,14.058,15.291,;
7,18.444,16.832,16.426,18.001,;
8,18.444,16.345,16.272,17.933,;
9,18.444,15.952,16.157,17.864,;
0,16.052,13.497,13.759,15.092,;
1,15.998,13.376,13.633,14.995,;
2,13.559,11.686,12.02,12.899,;
3,13.657,12.32,12.265,13.053,;
4,13.71,12.569,12.316,13.114,;
5,16.292,14.677,14.323,15.458,;
6,16.196,14.365,14.061,15.298,;
7,18.444,16.828,16.426,18.006,;
8,18.444,16.334,16.27,17.933,;
9,18.444,15.949,16.164,17.865,;
0,16.048,13.496,13.759,15.085,;
1,15.998,13.377,13.637,14.985,;
2,13.555,11.689,12.016,12.902,;
3,13.662,12.326,12.262,13.055,;
4,13.71,12.57,12.317,13.117,;
5,16.281,14.682,14.328,15.456,;
6,16.189,14.366,14.063,15.298,;
7,18.444,16.828,16.431,17.998,;
8,18.444,16.345,16.274,17.93,;
9,18.444,15.95,16.164,17.868,;
0,16.053,13.504,13.764,15.089,;
1,16.005,13.379,13.641,14.997,;
2,13.563,11.689,12.02,12.9,;
3,13.661,12.324,12.264,13.05,;
4,13.715,12.567,12.317,13.119,;
5,16.28,14.673,14.323,15.469,;
6,16.189,14.358,14.063,15.308,;
7,18.444,16.833,16.426,18.008,;
8,18.444,16.331,16.269,17.933,;
9,18.444,15.958,16.162,17.868,;
0,16.053,13.505,13.76,15.099,;
1,15.997,13.384,13.641,15,;
2,13.559,11.684,12.021,12.902,;
3,13.661,12.324,12.268,13.053,;
4,13.717,12.569,12.318,13.122,;
5,16.286,14.681,14.332,15.461,;
6,16.196,14.377,14.064,15.301,;
7,18.444,16.832,16.436,18.004,;
8,18.444,16.348,16.281,17.936,;
9,18.444,15.948,16.162,17.864,;
0,16.057,13.505,13.766,15.092,;
1,16,13.381,13.638,14.992,;
2,13.557,11.689,12.023,12.9,;
3,13.657,12.326,12.268,13.052,;
4,13.719,12.57,12.319,13.117,;
5,16.286,14.681,14.328,15.46,;
6,16.187,14.363,14.065,15.299,;
7,18.444,16.832,16.436,18.009,;
8,18.444,16.339,16.275,17.931,;
9,18.444,15.963,16.166,17.862,;
0,16.063,13.501,13.761,15.094,;
1,16.002,13.388,13.633,14.997,;
2,13.557,11.689,12.021,12.901,;
3,13.667,12.326,12.271,13.054,;
4,13.713,12.57,12.322,13.123,;
5,16.284,14.684,14.328,15.467,;
6,16.189,14.364,14.065,15.305,;
7,18.444,16.835,16.438,18.01,;
8,18.444,16.347,16.286,17.933,;
9,18.444,15.948,16.175,17.861,;
0,16.052,13.5,13.768,15.096,;
1,15.996,13.384,13.645,14.995,;
2,13.562,11.691,12.026,12.902,;
3,13.657,12.325,12.27,13.054,;
4,13.721,12.565,12.326,13.124,;
5,16.282,14.671,14.33,15.461,;
6,16.194,14.364,14.068,15.302,;
7,18.444,16.827,16.435,18.009,;
8,18.444,16.342,16.287,17.939,;
9,18.444,15.96,16.175,17.871,;
0,16.057,13.509,13.771,15.091,;
1,16.009,13.383,13.642,14.992,;
2,13.556,11.692,12.026,12.902,;
3,13.664,12.328,12.27,13.061,;
4,13.714,12.572,12.323,13.119,;
5,16.285,14.676,14.336,15.464,;
6,16.189,14.378,14.071,15.299,;
7,18.444,16.836,16.446,18.021,;
8,18.444,16.355,16.287,17.934,;
9,18.444,15.957,16.175,17.87,;
0,16.058,13.502,13.773,15.092,;
1,16.001,13.38,13.644,15.003,;
2,13.56,11.685,12.028,12.902,;
3,13.662,12.326,12.274,13.054,;
4,13.714,12.571,12.326,13.122,;
5,16.292,14.682,14.335,15.461,;
6,16.194,14.378,14.075,15.312,;
7,18.444,16.831,16.445,18.01,;
8,18.444,16.34,16.285,17.935,;
9,18.444,15.96,16.171,17.871,;
0,16.057,13.505,13.767,15.099,;
1,16.003,13.382,13.65,15.007,;
2,13.558,11.692,12.027,12.905,;
3,13.665,12.329,12.275,13.057,;
4,13.722,12.571,12.324,13.119,;
5,16.288,14.686,14.338,15.464,;
6,16.198,14.369,14.072,15.301,;
7,18.444,16.833,16.444,18.025,;
8,18.444,16.347,16.292,17.935,;
9,18.444,15.958,16.175,17.866,;
0,16.056,13.503,13.777,15.099,;
1,16.002,13.384,13.652,14.994,;
2,13.559,11.692,12.026,12.907,;
3,13.664,12.328,12.272,13.06,;
4,13.714,12.57,12.325,13.122,;
5,16.284,14.683,14.341,15.464,;
6,16.198,14.38,14.077,15.301,;
7,18.444,16.836,16.455,18.015,;
8,18.444,16.362,16.289,17.943,;
9,18.444,15.957,16.183,17.866,;
0,16.065,13.509,13.778,15.1,;
1,15.997,13.391,13.65,15.009,;
2,13.555,11.697,12.031,12.906,;
3,13.659,12.33,12.28,13.055,;
4,13.714,12.574,12.327,13.124,;
5,16.295,14.678,14.338,15.478,;
6,16.198,14.374,14.082,15.31,;
7,18.444,16.832,16.446,18.016,;
8,18.444,16.348,16.298,17.934,;
9,18.444,15.962,16.184,17.877,;
0,16.055,13.511,13.78,15.1,;
1,16.004,13.389,13.644,15.003,;
2,13.561,11.692,12.03,12.903,;
3,13.667,12.328,12.272,13.06,;
4,13.725,12.571,12.328,13.122,;
5,16.289,14.686,14.344,15.475,;
6,16.197,14.381,14.077,15.303,;
7,18.444,16.842,16.451,18.01,;
8,18.444,16.361,16.292,17.943,;
9,18.444,15.962,16.185,17.875,;
0,16.059,13.511,13.785,15.099,;
1,16.005,13.387,13.659,15.003,;
2,13.56,11.694,12.032,12.904,;
3,13.667,12.326,12.279,13.061,;
4,13.719,12.573,12.33,13.122,;
5,16.292,14.683,14.345,15.474,;
6,16.193,14.384,14.085,15.318,;
7,18.444,16.843,16.451,18.02,;
8,18.444,16.351,16.317,17.937,;
9,18.444,15.974,16.186,17.877,;
0,16.057,13.509,13.789,15.096,;
1,16.005,13.404,13.655,15.004,;
2,13.561,11.693,12.032,12.903,;
3,13.669,12.329,12.278,13.059,;
4,13.727,12.576,12.33,13.121,;
5,16.289,14.686,14.349,15.462,;
6,16.201,14.373,14.084,15.308,;
7,18.444,16.848,16.457,18.012,;
8,18.444,16.365,16.296,17.943,;
9,18.444,15.978,16.185,17.879,;
0,16.064,13.519,13.782,15.096,;
1,16.011,13.403,13.659,15.001,;
2,13.556,11.7,12.032,12.9,;
3,13.661,12.33,12.279,13.059,;
4,13.727,12.574,12.33,13.124,;
5,16.288,14.694,14.349,15.465,;
6,16.192,14.369,14.086,15.309,;
7,18.444,16.848,16.455,18.019,;
8,18.444,16.365,16.298,17.936,;
9,18.444,15.981,16.189,17.877,;
0,16.067,13.515,13.782,15.103,;
1,16.002,13.401,13.657,15.004,;
2,13.562,11.694,12.036,12.906,;
3,13.662,12.33,12.284,13.057,;
4,13.727,12.574,12.331,13.127,;
5,16.287,14.69,14.355,15.463,;
6,16.205,14.38,14.097,15.306,;
7,18.444,16.848,16.46,18.019,;
8,18.444,16.358,16.324,17.941,;
9,18.444,15.979,16.195,17.875,;
0,16.055,13.516,13.787,15.103,;
1,16.007,13.399,13.67,15.007,;
2,13.562,11.702,12.041,12.907,;
3,13.67,12.328,12.282,13.062,;
4,13.721,12.576,12.335,13.128,;
5,16.293,14.69,14.353,15.467,;
6,16.203,14.376,14.09,15.307,;
7,18.444,16.846,16.467,18.019,;
8,18.444,16.367,16.324,17.944,;
9,18.444,15.982,16.199,17.879,;
0,16.055,13.518,13.786,15.1,;
1,16.01,13.403,13.664,15.004,;
2,13.553,11.698,12.035,12.906,;
3,13.666,12.333,12.281,13.065,;
4,13.719,12.577,12.334,13.126,;
5,16.293,14.687,14.355,15.468,;
6,16.201,14.376,14.09,15.314,;
7,18.444,16.854,16.465,18.022,;
8,18.444,16.368,16.327,17.944,;
9,18.444,15.984,16.202,17.875,;
0,16.065,13.527,13.792,15.097,;
1,16.008,13.402,13.672,15.007,;
2,13.561,11.703,12.042,12.905,;
3,13.667,12.334,12.287,13.063,;
4,13.726,12.577,12.339,13.13,;
5,16.296,14.69,14.354,15.481,;
6,16.2,14.383,14.093,15.313,;
7,18.444,16.852,16.469,18.025,;
8,18.444,16.362,16.324,17.947,;
9,18.444,15.987,16.199,17.877,;
0,16.057,13.516,13.795,15.11,;
1,16.009,13.405,13.667,15.004,;
2,13.56,11.703,12.037,12.909,;
3,13.664,12.337,12.286,13.062,;
4,13.719,12.575,12.34,13.126,;
5,16.293,14.687,14.359,15.476,;
6,16.202,14.393,14.093,15.311,;
7,18.444,16.855,16.472,18.019,;
8,18.444,16.367,16.326,17.953,;
9,18.444,15.985,16.203,17.878,;
0,16.067,13.522,13.792,15.101,;
1,16.016,13.402,13.667,15.003,;
2,13.566,11.704,12.044,12.909,;
3,13.671,12.336,12.288,13.061,;
4,13.721,12.578,12.336,13.128,;
5,16.295,14.69,14.352,15.473,;
6,16.203,14.381,14.091,15.313,;
7,18.444,16.844,16.468,18.032,;
8,18.444,16.365,16.335,17.948,;
9,18.444,15.983,16.207,17.875,;
0,16.06,13.524,13.794,15.106,;
1,16.013,13.41,13.674,15.007,;
2,13.553,11.701,12.038,12.91,;
3,13.665,12.338,12.284,13.06,;
4,13.725,12.577,12.344,13.125,;
5,16.297,14.691,14.367,15.472,;
6,16.207,14.385,14.095,15.304,;
7,18.444,16.848,16.471,18.022,;
8,18.444,16.376,16.336,17.948,;
9,18.444,15.986,16.211,17.879,;
0,16.065,13.522,13.793,15.102,;
1,16.015,13.406,13.669,15.01,;
2,13.559,11.703,12.038,12.908,;
3,13.669,12.339,12.286,13.064,;
4,13.723,12.58,12.342,13.128,;
5,16.298,14.693,14.359,15.474,;
6,16.204,14.382,14.098,15.316,;
7,18.444,16.858,16.481,18.024,;
8,18.444,16.365,16.339,17.939,;
9,18.444,15.987,16.214,17.879,;
0,16.059,13.524,13.802,15.1,;
1,16.008,13.411,13.679,15.005,;
2,13.563,11.708,12.049,12.908,;
3,13.663,12.338,12.289,13.061,;
4,13.715,12.581,12.34,13.125,;
5,16.29,14.7,14.361,15.475,;
6,16.2,14.384,14.104,15.311,;
7,18.444,16.855,16.475,18.023,;
8,18.444,16.373,16.335,17.948,;
9,18.444,15.979,16.213,17.875,;
0,16.064,13.537,13.799,15.104,;
1,16.011,13.407,13.676,15.004,;
2,13.565,11.702,12.05,12.906,;
3,13.671,12.334,12.294,13.063,;
4,13.715,12.579,12.34,13.122,;
5,16.29,14.695,14.364,15.478,;
6,16.196,14.385,14.097,15.318,;
7,18.444,16.855,16.485,18.032,;
8,18.444,16.38,16.338,17.949,;
9,18.444,15.988,16.213,17.884,;
0,16.072,13.53,13.801,15.096,;
1,16.015,13.413,13.679,15.013,;
2,13.553,11.713,12.049,12.911,;
3,13.673,12.337,12.293,13.067,;
4,13.721,12.582,12.338,13.13,;
5,16.31,14.696,14.363,15.471,;
6,16.203,14.395,14.099,15.321,;
7,18.444,16.854,16.477,18.032,;
8,18.444,16.379,16.335,17.951,;
9,18.444,15.993,16.214,17.881,;
0,16.065,13.521,13.8,15.104,;
1,16.011,13.412,13.672,15.01,;
2,13.561,11.709,12.048,12.909,;
3,13.666,12.336,12.291,13.065,;
4,13.725,12.581,12.34,13.128,;
5,16.293,14.698,14.366,15.475,;
6,16.206,14.389,14.11,15.316,;
7,18.444,16.863,16.486,18.029,;
8,18.444,16.378,16.344,17.953,;
9,18.444,15.997,16.213,17.88,;
0,16.063,13.53,13.8,15.112,;
1,16.012,13.419,13.687,15.016,;
2,13.572,11.711,12.046,12.912,;
3,13.668,12.337,12.287,13.061,;
4,13.725,12.582,12.346,13.127,;
5,16.296,14.689,14.364,15.474,;
6,16.203,14.38,14.104,15.316,;
7,18.444,16.865,16.488,18.029,;
8,18.444,16.381,16.338,17.948,;
9,18.444,15.993,16.212,17.879,;
0,16.064,13.535,13.805,15.102,;
