; sensorId, category, index, temperature, humidity, pressure, gas_registance, gas_registance_log, gas_registance_diff
1,Coca-Cola,0,38.78,35.32,101326.05,251288.34,12.434357,10.072,;
1,Coca-Cola,1,38.38,35.19,101331.48,36098044,17.401749,14.967,;
1,Coca-Cola,2,37.41,35.01,101326.16,21751078,16.895174,9.493,;
1,Coca-Cola,3,36.85,35.79,101326.2,8310423.5,15.933022,9.038,;
1,Coca-Cola,4,37.44,35.96,101322.23,795958,13.587301,7.654,;
1,Coca-Cola,5,37.65,35.97,101323.71,777820,13.56425,9.977,;
1,Coca-Cola,6,37.74,35.92,101324.48,746627.75,13.523322,9.959,;
1,Coca-Cola,7,38.2,35.85,101325.06,169592.58,12.041154,8.518,;
1,Coca-Cola,8,38.44,35.7,101324.2,210526.31,12.257366,10.216,;
1,Coca-Cola,9,38.6,35.5,101326.87,236653.58,12.374352,10.117,;
1,Coca-Cola,0,38.73,35.28,101323.93,252777.09,12.440264,10.066,;
1,Coca-Cola,1,38.33,35.15,101329.95,36551032,17.414221,14.974,;
1,Coca-Cola,2,37.36,35.02,101326.3,21751078,16.895174,9.481,;
1,Coca-Cola,3,36.8,35.75,101328.45,8266397.5,15.92771,9.033,;
1,Coca-Cola,4,37.39,35.93,101323.93,794568.38,13.585554,7.658,;
1,Coca-Cola,5,37.61,35.92,101325.4,778707.25,13.565391,9.98,;
1,Coca-Cola,6,37.71,35.84,101325.43,744998.19,13.521137,9.956,;
1,Coca-Cola,7,38.15,35.77,101322.75,171466.84,12.052145,8.531,;
1,Coca-Cola,8,38.4,35.59,101325.91,211701.47,12.262933,10.211,;
1,Coca-Cola,9,38.56,35.37,101325.69,238139.53,12.380612,10.118,;
1,Coca-Cola,0,38.69,35.16,101325.3,252964.42,12.441004,10.06,;
1,Coca-Cola,1,38.3,35.03,101334.06,36735428,17.419252,14.978,;
1,Coca-Cola,2,37.32,34.85,101326.13,21643328,16.890207,9.471,;
1,Coca-Cola,3,36.76,35.64,101330.39,8149216.5,15.913432,9.023,;
