; sensorId, category, index, temperature, humidity, pressure, gas_registance, gas_registance_log, gas_registance_diff
1,イタリアンロースト,0,34.77,27.82,100648.25,153293.41,11.940109,10.089,;
1,イタリアンロースト,1,34.68,27.82,100650.3,15544592,16.559223,14.619,;
1,イタリアンロースト,2,34.25,27.72,100656.73,11085250,16.221127,9.662,;
1,イタリアンロースト,3,34.05,27.77,100685.51,5832680.5,15.578987,9.358,;
1,イタリアンロースト,4,34.29,27.85,100674.61,572546.81,13.25785,7.679,;
1,イタリアンロースト,5,34.41,27.86,100668.6,550389.69,13.218382,9.961,;
1,イタリアンロースト,6,34.47,27.88,100665.2,530295.19,13.18119,9.963,;
1,イタリアンロースト,7,34.56,27.87,100655.91,106577.85,11.576631,8.395,;
1,イタリアンロースト,8,34.68,27.85,100654.21,123731.27,11.725867,10.149,;
1,イタリアンロースト,9,34.74,27.85,100652,139509.53,11.845888,10.12,;
1,イタリアンロースト,0,34.78,27.82,100650.27,153293.41,11.940109,10.094,;
1,イタリアンロースト,1,34.69,27.77,100652.73,15723608,16.570673,14.631,;
1,イタリアンロースト,2,34.25,27.66,100656.91,11085250,16.221127,9.65,;
1,イタリアンロースト,3,34.05,27.74,100658.48,5832680.5,15.578987,9.358,;
1,イタリアンロースト,4,34.3,27.82,100657.7,572067.06,13.257011,7.678,;
1,イタリアンロースト,5,34.41,27.83,100658.21,549946.31,13.217576,9.961,;
1,イタリアンロースト,6,34.47,27.84,100657.14,529883.56,13.180412,9.963,;
1,イタリアンロースト,7,34.57,27.84,100653.36,106378.55,11.574759,8.394,;
1,イタリアンロースト,8,34.68,27.84,100655.38,124362.4,11.730955,10.156,;
1,イタリアンロースト,9,34.75,27.81,100659.14,139281.83,11.844254,10.113,;
1,イタリアンロースト,0,34.79,27.77,100659.55,152744.63,11.936522,10.092,;
1,イタリアンロースト,1,34.69,27.76,100660.18,15555661,16.559935,14.623,;
1,イタリアンロースト,2,34.25,27.64,100658.49,11107797,16.223158,9.663,;
1,イタリアンロースト,3,34.05,27.73,100664.86,5863994.5,15.584342,9.361,;
1,イタリアンロースト,4,34.3,27.78,100666.38,573991.06,13.260369,7.676,;
1,イタリアンロースト,5,34.42,27.82,100668.15,551724.13,13.220803,9.96,;
1,イタリアンロースト,6,34.47,27.8,100661.05,529472.62,13.179637,9.959,;
1,イタリアンロースト,7,34.58,27.83,100660.8,106113.99,11.572269,8.393,;
1,イタリアンロースト,8,34.69,27.81,100655.89,123910.94,11.727319,10.155,;
1,イタリアンロースト,9,34.75,27.79,100651.88,139281.83,11.844254,10.117,;
1,イタリアンロースト,0,34.79,27.75,100650.88,153293.41,11.940109,10.096,;
1,イタリアンロースト,1,34.69,27.74,100651.75,15588963,16.562075,14.622,;
1,イタリアンロースト,2,34.26,27.62,100662.26,11085250,16.221127,9.659,;
1,イタリアンロースト,3,34.05,27.7,100657.07,5807869.5,15.574724,9.354,;
1,イタリアンロースト,4,34.29,27.76,100654.76,572546.81,13.25785,7.683,;
1,イタリアンロースト,5,34.42,27.78,100655.56,550389.69,13.218382,9.961,;
1,イタリアンロースト,6,34.47,27.79,100653.57,526207.63,13.173451,9.955,;
1,イタリアンロースト,7,34.57,27.8,100651.12,106113.99,11.572269,8.399,;
1,イタリアンロースト,8,34.69,27.78,100654.13,123910.94,11.727319,10.155,;
1,イタリアンロースト,9,34.75,27.76,100654.02,139623.67,11.846706,10.119,;
1,イタリアンロースト,0,34.8,27.74,100654.1,153707.59,11.942807,10.096,;
1,イタリアンロースト,1,34.69,27.71,100653.22,15500473,16.556381,14.614,;
1,イタリアンロースト,2,34.26,27.59,100652.34,11040431,16.217075,9.661,;
1,イタリアンロースト,3,34.06,27.67,100655.94,5851428.5,15.582196,9.365,;
1,イタリアンロースト,4,34.3,27.72,100653.28,572067.06,13.257011,7.675,;
1,イタリアンロースト,5,34.42,27.75,100650.52,547740.06,13.213556,9.957,;
1,イタリアンロースト,6,34.48,27.76,100650.91,528652.56,13.178086,9.965,;
1,イタリアンロースト,7,34.58,27.76,100649.6,105916.42,11.570406,8.392,;
1,イタリアンロースト,8,34.69,27.74,100649.51,123373.49,11.722972,10.153,;
1,イタリアンロースト,9,34.75,27.72,100648.5,138715.8,11.840182,10.117,;
1,イタリアンロースト,0,34.79,27.69,100651.45,153018.53,11.938314,10.098,;
1,イタリアンロースト,1,34.7,27.65,100651.32,15577846,16.561359,14.623,;
1,イタリアンロースト,2,34.26,27.55,100655.32,11051602,16.218086,9.657,;
1,イタリアンロースト,3,34.06,27.61,100650.89,5801699.5,15.573662,9.356,;
1,イタリアンロースト,4,34.31,27.69,100651.77,572546.81,13.25785,7.684,;
1,イタリアンロースト,5,34.42,27.71,100649.12,548179.87,13.214358,9.957,;
1,イタリアンロースト,6,34.48,27.71,100650.52,523785.16,13.168837,9.954,;
